grid_id,cell_ix,cell_iy,x_center_m,y_center_m,lon_center,lat_center,n_observation_points,n_observation_days,n_devices_observed,n_points_excluded_abnormal_segments,valid_distance_m,valid_distance_km,n_detection_rows_raw,sum_totalTrashCount_raw,is_effective_coverage,period_label,period_start,period_end
4838_4589,4838,4589,483850.0,458950.0,139.9980920822784,39.99646001803976,12,3,1,6,60.99736778366406,0.06099736778366406,3,3.0,False,full,2001-01-01,2001-03-01
4838_4590,4838,4590,483850.0,459050.0,139.99816638343972,39.99735631959839,12,3,1,0,121.99473210121324,0.12199473210121324,0,0.0,False,full,2001-01-01,2001-03-01
4838_4591,4838,4591,483850.0,459150.0,139.99824068792924,39.99825262090296,15,3,1,6,91.4960013085084,0.09149600130850839,3,3.0,False,full,2001-01-01,2001-03-01
4838_4592,4838,4592,483850.0,459250.0,139.99831499574702,39.999148921953456,9,3,1,0,91.49599871644082,0.09149599871644082,0,0.0,False,full,2001-01-01,2001-03-01
4839_4593,4839,4593,483950.0,459350.0,139.9995547342829,39.999988064906226,288,16,3,51,34325.56554236918,34.325565542369176,48,90.0,True,full,2001-01-01,2001-03-01
4839_4594,4839,4594,483950.0,459450.0,139.9996290638461,40.000884363644474,144,16,3,48,975.5110808048163,0.9755110808048163,48,97.0,True,full,2001-01-01,2001-03-01
4839_4595,4839,4595,483950.0,459550.0,139.99970339673882,40.001780662128596,360,16,3,72,2929.0557861973443,2.9290557861973445,24,52.0,True,full,2001-01-01,2001-03-01
4839_4597,4839,4597,483950.0,459750.0,139.99985207251333,40.00357325833436,384,16,3,96,2927.8355958551683,2.9278355958551683,48,92.0,True,full,2001-01-01,2001-03-01
4839_4599,4839,4599,483950.0,459950.0,140.0000007616078,40.00536585352347,342,16,3,54,2929.2735716936218,2.9292735716936216,6,13.0,True,full,2001-01-01,2001-03-01
4840_4593,4840,4593,484050.0,459350.0,140.0007201583431,39.99993089541065,48,16,3,48,0.0,0.0,48,108.0,True,full,2001-01-01,2001-03-01
4840_4595,4840,4595,484050.0,459550.0,140.0008688509759,40.00172348902411,12,4,3,12,0.0,0.0,12,22.0,False,full,2001-01-01,2001-03-01
4840_4599,4840,4599,484050.0,459950.0,140.00116627620667,40.00530867320058,294,16,3,54,2439.870819319855,2.439870819319855,6,11.0,True,full,2001-01-01,2001-03-01
4841_4593,4841,4593,484150.0,459350.0,140.00188557907336,39.99987371426327,288,16,3,144,1463.3425556503364,1.4633425556503363,96,195.0,True,full,2001-01-01,2001-03-01
4841_4594,4841,4594,484150.0,459450.0,140.00195993881263,40.000770009392284,192,16,3,48,1466.158560503519,1.466158560503519,48,102.0,True,full,2001-01-01,2001-03-01
4841_4595,4841,4595,484150.0,459550.0,140.0020343018827,40.00166630426708,324,16,3,84,2440.385866349804,2.440385866349804,36,73.0,True,full,2001-01-01,2001-03-01
4841_4596,4841,4596,484150.0,459650.0,140.0021086682838,40.002562598887614,48,16,3,0,487.1688676383227,0.4871688676383227,0,0.0,True,full,2001-01-01,2001-03-01
4841_4597,4841,4597,484150.0,459750.0,140.002183038016,40.003458893253914,384,16,3,96,2928.1575013241336,2.9281575013241334,48,99.0,True,full,2001-01-01,2001-03-01
4841_4599,4841,4599,484150.0,459950.0,140.00233178747456,40.005251481223695,48,16,3,0,487.27433141013756,0.48727433141013754,0,0.0,True,full,2001-01-01,2001-03-01
4842_4593,4842,4593,484250.0,459350.0,140.00305099647295,39.99981652146418,192,16,3,96,976.034917617124,0.976034917617124,48,100.0,True,full,2001-01-01,2001-03-01
4842_4594,4842,4594,484250.0,459450.0,140.00312537129997,40.000712814788024,240,16,3,48,1951.4481031739779,1.9514481031739779,48,92.0,True,full,2001-01-01,2001-03-01
4842_4595,4842,4595,484250.0,459550.0,140.0031997494585,40.00160910785761,264,16,3,72,1952.4611401808738,1.9524611401808738,24,46.0,True,full,2001-01-01,2001-03-01
4842_4596,4842,4596,484250.0,459650.0,140.00327413094868,40.00250540067289,108,16,3,12,975.9062774508237,0.9759062774508237,12,22.0,True,full,2001-01-01,2001-03-01
