grid_id,cell_ix,cell_iy,lon_center,lat_center,n_observation_points,n_observation_days,n_devices_observed,valid_distance_m,valid_distance_km,is_effective_coverage,n_unique_litter_events,n_detection_days,normalized_intensity_per_km,recurrence_ratio,metric_status,period_label,period_start,period_end
4838_4589,4838,4589,139.9980920822784,39.99646001803976,12,3,1,60.99736778366406,0.060997367783664,False,1,3,,1.0,not_effective,full,2001-01-01,2001-03-01
4838_4590,4838,4590,139.99816638343972,39.99735631959839,12,3,1,121.99473210121324,0.1219947321012132,False,0,0,,0.0,not_effective,full,2001-01-01,2001-03-01
4838_4591,4838,4591,139.99824068792924,39.99825262090296,15,3,1,91.4960013085084,0.0914960013085083,False,1,3,,1.0,not_effective,full,2001-01-01,2001-03-01
4838_4592,4838,4592,139.99831499574702,39.999148921953456,9,3,1,91.49599871644082,0.0914959987164408,False,0,0,,0.0,not_effective,full,2001-01-01,2001-03-01
4839_4593,4839,4593,139.9995547342829,39.99998806490623,288,16,3,34325.56554236918,34.325565542369176,True,1,16,0.029132804782652948,1.0,effective,full,2001-01-01,2001-03-01
4839_4594,4839,4594,139.9996290638461,40.00088436364448,144,16,3,975.5110808048164,0.9755110808048164,True,1,16,1.0251036812159835,1.0,effective,full,2001-01-01,2001-03-01
4839_4595,4839,4595,139.99970339673882,40.0017806621286,360,16,3,2929.0557861973443,2.9290557861973445,True,2,4,0.6828138983984685,0.25,effective,full,2001-01-01,2001-03-01
4839_4597,4839,4597,139.9998520725133,40.00357325833436,384,16,3,2927.8355958551683,2.9278355958551683,True,1,16,0.3415492322778178,1.0,effective,full,2001-01-01,2001-03-01
4839_4599,4839,4599,140.0000007616078,40.00536585352347,342,16,3,2929.2735716936218,2.9292735716936216,True,1,2,0.3413815662911364,0.125,effective,full,2001-01-01,2001-03-01
4840_4593,4840,4593,140.0007201583431,39.99993089541065,48,16,3,0.0,0.0,True,1,16,,1.0,div_zero,full,2001-01-01,2001-03-01
4840_4595,4840,4595,140.0008688509759,40.00172348902411,12,4,3,0.0,0.0,False,1,4,,1.0,not_effective,full,2001-01-01,2001-03-01
4840_4599,4840,4599,140.00116627620667,40.00530867320058,294,16,3,2439.870819319855,2.439870819319855,True,1,2,0.4098577646331139,0.125,effective,full,2001-01-01,2001-03-01
4841_4593,4841,4593,140.00188557907336,39.99987371426327,288,16,3,1463.3425556503364,1.4633425556503363,True,2,16,1.3667339832888024,1.0,effective,full,2001-01-01,2001-03-01
4841_4594,4841,4594,140.00195993881263,40.00077000939229,192,16,3,1466.158560503519,1.466158560503519,True,1,16,0.6820544700544343,1.0,effective,full,2001-01-01,2001-03-01
4841_4595,4841,4595,140.0020343018827,40.00166630426708,324,16,3,2440.385866349804,2.440385866349804,True,3,4,1.2293137906454263,0.25,effective,full,2001-01-01,2001-03-01
4841_4596,4841,4596,140.0021086682838,40.002562598887614,48,16,3,487.1688676383227,0.4871688676383227,True,0,0,0.0,0.0,effective,full,2001-01-01,2001-03-01
4841_4597,4841,4597,140.002183038016,40.00345889325392,384,16,3,2928.1575013241336,2.928157501324133,True,1,16,0.34151168424095807,1.0,effective,full,2001-01-01,2001-03-01
4841_4599,4841,4599,140.00233178747456,40.005251481223695,48,16,3,487.2743314101376,0.4872743314101375,True,0,0,0.0,0.0,effective,full,2001-01-01,2001-03-01
4842_4593,4842,4593,140.00305099647295,39.99981652146418,192,16,3,976.034917617124,0.976034917617124,True,1,16,1.0245535092549598,1.0,effective,full,2001-01-01,2001-03-01
4842_4594,4842,4594,140.00312537129997,40.00071281478802,240,16,3,1951.4481031739776,1.9514481031739777,True,1,16,0.5124399661838442,1.0,effective,full,2001-01-01,2001-03-01
4842_4595,4842,4595,140.0031997494585,40.00160910785761,264,16,3,1952.4611401808736,1.9524611401808736,True,2,4,1.0243481720792265,0.25,effective,full,2001-01-01,2001-03-01
4842_4596,4842,4596,140.00327413094868,40.00250540067289,108,16,3,975.9062774508236,0.9759062774508236,True,1,4,1.0246885619099735,0.25,effective,full,2001-01-01,2001-03-01
4842_4597,4842,4597,140.00334851577068,40.00340169323387,384,16,3,2929.7299167779324,2.9297299167779323,True,1,16,0.34132839149206734,1.0,effective,full,2001-01-01,2001-03-01
4842_4599,4842,4599,140.0034972954108,40.00519427759292,342,16,3,2928.845681995383,2.928845681995383,True,1,2,0.34143144042970314,0.125,effective,full,2001-01-01,2001-03-01
4843_4593,4843,4593,140.0042164105412,39.99975931701347,48,16,3,0.0,0.0,True,1,16,,1.0,div_zero,full,2001-01-01,2001-03-01
4843_4595,4843,4595,140.00436519370265,40.001551899795786,48,16,3,0.0,0.0,True,0,0,,0.0,div_zero,full,2001-01-01,2001-03-01
4843_4597,4843,4597,140.00451399019337,40.00334448156077,336,16,3,2439.5006464576254,2.439500646457625,True,1,16,0.40991995696008127,1.0,effective,full,2001-01-01,2001-03-01
4843_4598,4843,4598,140.00458839343764,40.00424077206173,48,16,3,488.3519575061226,0.4883519575061226,True,0,0,0.0,0.0,effective,full,2001-01-01,2001-03-01
4843_4599,4843,4599,140.00466280001473,40.00513706230833,342,16,3,2928.572710823126,2.9285727108231256,True,1,2,0.3414632651271728,0.125,effective,full,2001-01-01,2001-03-01
4844_4593,4844,4593,140.0053818212775,39.99970210091124,192,16,3,487.9878931758426,0.4879878931758426,True,2,16,4.098462334759842,1.0,effective,full,2001-01-01,2001-03-01
4844_4594,4844,4594,140.00545622627956,40.00059839062367,288,16,3,2441.256278985871,2.4412562789858714,True,1,16,0.4096251625066634,1.0,effective,full,2001-01-01,2001-03-01
4844_4595,4844,4595,140.00553063461447,40.00149468008173,168,16,3,1464.8128945799444,1.4648128945799443,True,2,4,1.3653620932750787,0.25,effective,full,2001-01-01,2001-03-01
4844_4596,4844,4596,140.00560504628237,40.00239096928539,156,16,3,1462.323664275381,1.462323664275381,True,1,4,0.6838431357093067,0.25,effective,full,2001-01-01,2001-03-01
