grid_id,cell_ix,cell_iy,lon_center,lat_center,n_observation_points,n_observation_days,n_devices_observed,valid_distance_m,valid_distance_km,is_effective_coverage,n_unique_litter_events,n_detection_days,normalized_intensity_per_km,recurrence_ratio,metric_status,period_label,period_start,period_end
4839_4593,4839,4593,139.9995547342829,39.99998806490623,144,8,3,18815.699107992103,18.815699107992103,True,1,8,0.0531471083939285,1.0,effective,period2,2001-02-01,2001-03-01
4839_4594,4839,4594,139.9996290638461,40.00088436364448,72,8,3,487.6596749768237,0.4876596749768237,True,1,8,2.0506103976046934,1.0,effective,period2,2001-02-01,2001-03-01
4839_4595,4839,4595,139.99970339673882,40.0017806621286,180,8,3,1465.067002388051,1.465067002388051,True,2,2,1.3651252787347004,0.25,effective,period2,2001-02-01,2001-03-01
4839_4597,4839,4597,139.9998520725133,40.00357325833436,192,8,3,1463.7553476942348,1.4637553476942349,True,1,8,0.6831742760668573,1.0,effective,period2,2001-02-01,2001-03-01
4839_4599,4839,4599,140.0000007616078,40.00536585352347,171,8,3,1464.8761655627036,1.4648761655627036,True,1,1,0.6826515602538112,0.125,effective,period2,2001-02-01,2001-03-01
4840_4593,4840,4593,140.0007201583431,39.99993089541065,24,8,3,0.0,0.0,True,1,8,,1.0,div_zero,period2,2001-02-01,2001-03-01
4840_4595,4840,4595,140.0008688509759,40.00172348902411,6,2,3,0.0,0.0,False,1,2,,1.0,not_effective,period2,2001-02-01,2001-03-01
4840_4599,4840,4599,140.00116627620667,40.00530867320058,147,8,3,1219.6431568926582,1.2196431568926582,True,1,1,0.8199119507608656,0.125,effective,period2,2001-02-01,2001-03-01
4841_4593,4841,4593,140.00188557907336,39.99987371426327,144,8,3,732.2815225216937,0.7322815225216937,True,2,8,2.731190038924887,1.0,effective,period2,2001-02-01,2001-03-01
4841_4594,4841,4594,140.00195993881263,40.00077000939229,96,8,3,732.9615859411094,0.7329615859411094,True,1,8,1.364327980048256,1.0,effective,period2,2001-02-01,2001-03-01
4841_4595,4841,4595,140.0020343018827,40.00166630426708,162,8,3,1219.8248915653903,1.2198248915653904,True,3,2,2.4593693904295777,0.25,effective,period2,2001-02-01,2001-03-01
4841_4596,4841,4596,140.0021086682838,40.002562598887614,24,8,3,243.1286255089832,0.2431286255089831,True,0,0,0.0,0.0,effective,period2,2001-02-01,2001-03-01
4841_4597,4841,4597,140.002183038016,40.00345889325392,192,8,3,1464.3933097136685,1.4643933097136683,True,1,8,0.6828766516254634,1.0,effective,period2,2001-02-01,2001-03-01
4841_4599,4841,4599,140.00233178747456,40.005251481223695,24,8,3,244.0875321438624,0.2440875321438624,True,0,0,0.0,0.0,effective,period2,2001-02-01,2001-03-01
4842_4593,4842,4593,140.00305099647295,39.99981652146418,96,8,3,487.89092220351415,0.4878909222035141,True,1,8,2.049638463211393,1.0,effective,period2,2001-02-01,2001-03-01
4842_4594,4842,4594,140.00312537129997,40.00071281478802,120,8,3,976.0324844685576,0.9760324844685576,True,1,8,1.024556063361449,1.0,effective,period2,2001-02-01,2001-03-01
4842_4595,4842,4595,140.0031997494585,40.00160910785761,132,8,3,975.9546315219152,0.9759546315219152,True,2,2,2.0492755865927665,0.25,effective,period2,2001-02-01,2001-03-01
4842_4596,4842,4596,140.00327413094868,40.00250540067289,54,8,3,488.8556889114869,0.4888556889114869,True,1,2,2.045593459752213,0.25,effective,period2,2001-02-01,2001-03-01
4842_4597,4842,4597,140.00334851577068,40.00340169323387,192,8,3,1465.3138707410874,1.465313870741087,True,1,8,0.6824476448136308,1.0,effective,period2,2001-02-01,2001-03-01
4842_4599,4842,4599,140.0034972954108,40.00519427759292,171,8,3,1464.2014275708004,1.4642014275708004,True,1,1,0.6829661419324397,0.125,effective,period2,2001-02-01,2001-03-01
4843_4593,4843,4593,140.0042164105412,39.99975931701347,24,8,3,0.0,0.0,True,1,8,,1.0,div_zero,period2,2001-02-01,2001-03-01
4843_4595,4843,4595,140.00436519370265,40.001551899795786,24,8,3,0.0,0.0,True,0,0,,0.0,div_zero,period2,2001-02-01,2001-03-01
4843_4597,4843,4597,140.00451399019337,40.00334448156077,168,8,3,1219.246013761708,1.2192460137617078,True,1,8,0.8201790194209667,1.0,effective,period2,2001-02-01,2001-03-01
4843_4598,4843,4598,140.00458839343764,40.00424077206173,24,8,3,245.19559163687725,0.2451955916368772,True,0,0,0.0,0.0,effective,period2,2001-02-01,2001-03-01
4843_4599,4843,4599,140.00466280001473,40.00513706230833,171,8,3,1464.1533113789085,1.4641533113789085,True,1,1,0.6829885861189094,0.125,effective,period2,2001-02-01,2001-03-01
4844_4593,4844,4593,140.0053818212775,39.99970210091124,96,8,3,243.77696641577356,0.2437769664157735,True,2,8,8.204220560317017,1.0,effective,period2,2001-02-01,2001-03-01
4844_4594,4844,4594,140.00545622627956,40.00059839062367,144,8,3,1221.6096129234222,1.2216096129234222,True,1,8,0.8185921176626219,1.0,effective,period2,2001-02-01,2001-03-01
4844_4595,4844,4595,140.00553063461447,40.00149468008173,84,8,3,733.5059422407242,0.7335059422407242,True,2,2,2.726630944379772,0.25,effective,period2,2001-02-01,2001-03-01
4844_4596,4844,4596,140.00560504628237,40.00239096928539,78,8,3,731.6031662431907,0.7316031662431907,True,1,2,1.3668612249657652,0.25,effective,period2,2001-02-01,2001-03-01
