cluster_id,n_member_rows,centroid_x_m,centroid_y_m,max_distance_from_seed_m,cell_ix,cell_iy,grid_id,period_label
0,24,483989.45556479174,459355.9739514611,1.6545651741864222,4839,4593,4839_4593,period1
1,24,483993.334228588,459404.30384559295,2.0416425568528545,4839,4594,4839_4594,period1
2,24,484025.71899635624,459367.31536626606,1.3510675865412825,4840,4593,4840_4593,period1
3,24,484130.60489148484,459365.24361112533,1.8689629364742857,4841,4593,4841_4593,period1
4,24,484134.3517324403,459413.2106043172,1.8319939090271462,4841,4594,4841_4594,period1
5,24,484166.80458721094,459376.38874002587,1.8935811936988094,4841,4593,4841_4593,period1
6,24,484271.5398095294,459374.08941869374,2.1890345000130544,4842,4593,4842_4593,period1
7,24,484275.2574649478,459422.19747337926,1.9093617272075962,4842,4594,4842_4594,period1
8,24,484307.6388474687,459385.079133953,1.571339354180575,4843,4593,4843_4593,period1
9,24,484412.39241410774,459383.22594273515,1.4976040184211077,4844,4593,4844_4593,period1
10,24,484416.382277077,459431.42456779163,2.242802584951175,4844,4594,4844_4594,period1
11,24,484448.7196528043,459394.40293170215,2.6058100916286455,4844,4593,4844_4593,period1
12,6,483977.7797382315,459539.1166286737,1.4486360380682333,4839,4595,4839_4595,period1
13,6,483981.5910760869,459587.56172345276,2.2196982575007964,4839,4595,4839_4595,period1
14,6,484014.0564925969,459550.74487369665,0.6856024432217628,4840,4595,4840_4595,period1
15,6,484118.8507014091,459548.35602914053,1.9508279407037792,4841,4595,4841_4595,period1
16,6,484122.65566845285,459596.3267526982,1.5531123128961553,4841,4595,4841_4595,period1
17,6,484155.10920672066,459559.37203712034,1.354811115005058,4841,4595,4841_4595,period1
18,6,484259.5376515411,459558.0365793414,1.4792489880851185,4842,4595,4842_4595,period1
19,6,484263.90521241986,459605.8500281581,1.0591641036646735,4842,4596,4842_4596,period1
20,6,484295.9814198467,459568.68019476556,1.0218256968675943,4842,4595,4842_4595,period1
21,6,484400.5565126843,459566.3518883512,1.2979123865281676,4844,4595,4844_4595,period1
22,6,484404.67018121044,459614.7685650494,1.6704546277477517,4844,4596,4844_4596,period1
23,6,484437.0978949309,459577.27950898604,1.2697880757733402,4844,4595,4844_4595,period1
24,24,483966.1009438575,459722.9048551716,1.5137098083548677,4839,4597,4839_4597,period1
25,24,484106.98701621493,459731.6878820145,2.3431655125504,4841,4597,4841_4597,period1
26,24,484248.3853455414,459740.5875877943,1.897373624145672,4842,4597,4842_4597,period1
27,24,484389.12733178027,459749.8376097236,1.652122210420022,4843,4597,4843_4597,period1
28,3,483954.38844279665,459906.45294238225,1.5125292283379546,4839,4599,4839_4599,period1
29,3,484095.73070768284,459915.2546944718,0.8614806149940101,4840,4599,4840_4599,period1
30,3,484236.18312360655,459923.8423801839,1.5396284999632799,4842,4599,4842_4599,period1
31,3,484377.7037138318,459933.2632799433,1.7065339576748624,4843,4599,4843_4599,period1
32,3,483866.48936401744,459173.0729073394,0.0,4838,4591,4838_4591,period1
33,3,483878.1797454354,458989.72835379076,0.0,4838,4589,4838_4589,period1
