pointId,recordDate,latitude,longitude,device_name,totalTrashCount,source_file,date_ts,x_m,y_m,is_detection,dist_m,dt_sec,speed_kmh,speed_flag,device_short
P000001,2001-01-03 09:00:00,39.9999986,140.0000013,DEV_A,0,synthetic_points.csv,2001-01-03 09:00:00,483988.0879262054,459353.60464811855,False,,,,first_row,DEV_A
P000002,2001-01-03 09:00:01,40.0000891,140.0000197,DEV_A,0,synthetic_points.csv,2001-01-03 09:00:01,483989.0189413017,459363.761117359,False,10.199051747165822,1.0,36.71658628979696,ok,DEV_A
P000003,2001-01-03 09:00:02,40.0001799,140.0000393,DEV_A,0,synthetic_points.csv,2001-01-03 09:00:02,483990.05037402397,459373.957463353,False,10.248381583952423,1.0,36.89417370222872,ok,DEV_A
P000004,2001-01-03 09:00:03,40.0002686,140.0000606,DEV_A,0,synthetic_points.csv,2001-01-03 09:00:03,483991.24196273397,459383.92972845456,False,10.04320441441058,1.0,36.15553589187809,ok,DEV_A
P000005,2001-01-03 09:00:04,40.0003604,140.000078,DEV_A,0,synthetic_points.csv,2001-01-03 09:00:04,483992.07828993205,459394.2252016511,False,10.329385825062191,1.0,37.18578897022389,ok,DEV_A
P000006,2001-01-03 09:00:05,40.0004523,140.000101,DEV_A,0,synthetic_points.csv,2001-01-03 09:00:05,483993.3924644211,459404.56231171207,False,10.420311847551066,1.0,37.513122651183835,ok,DEV_A
P000007,2001-01-03 09:00:06,40.0005392,140.0001209,DEV_A,0,synthetic_points.csv,2001-01-03 09:00:06,483994.4771529202,459414.3269349262,False,9.82468399767847,1.0,35.368862391642494,ok,DEV_A
P000008,2001-01-03 09:00:07,40.0000177,140.0000197,DEV_A,2,synthetic_points.csv,2001-01-03 09:00:07,483989.5249828813,459355.82729473093,True,58.70887404022848,1.0,211.35194654482254,abnormal_high,DEV_A
P000009,2001-01-03 09:00:08,40.0004529,140.000107,DEV_A,3,synthetic_points.csv,2001-01-03 09:00:08,483993.90095612995,459404.66168752825,True,49.030062836543685,1.0,176.50822621155726,abnormal_high,DEV_A
P000010,2001-01-03 09:00:09,40.0000985,140.0004545,DEV_A,2,synthetic_points.csv,2001-01-03 09:00:09,484026.10938238725,459367.17570221523,True,49.42248290869288,1.0,177.92093847129436,abnormal_high,DEV_A
