pointId,recordDate,latitude,longitude,device_name,totalTrashCount
P000001,2001-01-03 09:00:00,39.9999986,140.0000013,DEV_A,0
P000002,2001-01-03 09:00:01,40.0000891,140.0000197,DEV_A,0
P000003,2001-01-03 09:00:02,40.0001799,140.0000393,DEV_A,0
P000004,2001-01-03 09:00:03,40.0002686,140.0000606,DEV_A,0
P000005,2001-01-03 09:00:04,40.0003604,140.000078,DEV_A,0
P000006,2001-01-03 09:00:05,40.0004523,140.000101,DEV_A,0
P000007,2001-01-03 09:00:06,40.0005392,140.0001209,DEV_A,0
P000008,2001-01-03 09:00:07,40.0000177,140.0000197,DEV_A,2
P000009,2001-01-03 09:00:08,40.0004529,140.000107,DEV_A,3
P000010,2001-01-03 09:00:09,40.0000985,140.0004545,DEV_A,2
P000011,2001-01-06 09:00:00,40.0000004,139.9999987,DEV_A,0
P000012,2001-01-06 09:00:01,40.0000899,140.0000217,DEV_A,0
P000013,2001-01-06 09:00:02,40.0001826,140.0000408,DEV_A,0
P000014,2001-01-06 09:00:03,40.0002708,140.000059,DEV_A,0
P000015,2001-01-06 09:00:04,40.0003588,140.0000786,DEV_A,0
P000016,2001-01-06 09:00:05,40.0004505,140.0001008,DEV_A,0
P000017,2001-01-06 09:00:06,40.0005393,140.0001188,DEV_A,0
P000018,2001-01-06 09:00:07,40.0000213,140.0000216,DEV_A,2
P000019,2001-01-06 09:00:08,40.0004563,140.0000995,DEV_A,2
P000020,2001-01-06 09:00:09,40.0001007,140.0004567,DEV_A,1
P000021,2001-01-09 09:00:00,40.0000004,140.0000003,DEV_A,0
P000022,2001-01-09 09:00:01,40.0000905,140.0000205,DEV_A,0
P000023,2001-01-09 09:00:02,40.0001806,140.0000392,DEV_A,0
P000024,2001-01-09 09:00:03,40.0002703,140.0000584,DEV_A,0
P000025,2001-01-09 09:00:04,40.0003603,140.0000787,DEV_A,0
P000026,2001-01-09 09:00:05,40.0004499,140.0001005,DEV_A,0
P000027,2001-01-09 09:00:06,40.0005396,140.0001201,DEV_A,0
P000028,2001-01-09 09:00:07,40.0000118,140.0000157,DEV_A,2
P000029,2001-01-09 09:00:08,40.0004442,140.0001033,DEV_A,2
P000030,2001-01-09 09:00:09,40.0000945,140.00045,DEV_A,1
P000031,2001-01-12 09:00:00,39.9999989,139.9999998,DEV_A,0
P000032,2001-01-12 09:00:01,40.0000916,140.0000197,DEV_A,0
P000033,2001-01-12 09:00:02,40.0001792,140.0000404,DEV_A,0
P000034,2001-01-12 09:00:03,40.0002698,140.0000593,DEV_A,0
P000035,2001-01-12 09:00:04,40.0003582,140.0000808,DEV_A,0
P000036,2001-01-12 09:00:05,40.0004494,140.0001,DEV_A,0
P000037,2001-01-12 09:00:06,40.0005389,140.0001213,DEV_A,0
P000038,2001-01-12 09:00:07,40.0000237,140.0000249,DEV_A,1
P000039,2001-01-12 09:00:08,40.0004545,140.0001051,DEV_A,1
P000040,2001-01-12 09:00:09,40.0000997,140.0004482,DEV_A,3
P000041,2001-01-15 09:00:00,40.0000004,139.9999998,DEV_A,0
P000042,2001-01-15 09:00:01,40.000088,140.0000198,DEV_A,0
P000043,2001-01-15 09:00:02,40.0001811,140.0000397,DEV_A,0
P000044,2001-01-15 09:00:03,40.0002681,140.0000599,DEV_A,0
P000045,2001-01-15 09:00:04,40.0003608,140.0000802,DEV_A,0
P000046,2001-01-15 09:00:05,40.0004496,140.0001018,DEV_A,0
P000047,2001-01-15 09:00:06,40.0005419,140.0001199,DEV_A,0
P000048,2001-01-15 09:00:07,40.0000241,140.000022,DEV_A,3
P000049,2001-01-15 09:00:08,40.0004541,140.0001004,DEV_A,3
P000050,2001-01-15 09:00:09,40.0000959,140.0004499,DEV_A,3
P000051,2001-01-18 09:00:00,40.0000001,140.0000003,DEV_A,0
P000052,2001-01-18 09:00:01,40.00009,140.0000205,DEV_A,0
P000053,2001-01-18 09:00:02,40.0001789,140.000038,DEV_A,0
P000054,2001-01-18 09:00:03,40.0002696,140.0000589,DEV_A,0
P000055,2001-01-18 09:00:04,40.0003616,140.0000798,DEV_A,0
